Year,Charge All,Charge 4-year,Charge 2-year,Tuition All,Tuition 4-year,Tuition 2-year,Dorm All,Dorm 4-year,Dorm 2-year,Board All,Board 4-year,Board 2-year
1963-64 ,1247.9225487758372,1286.1141263246172,775.4335031743018,508.24769338648855,552.5784151658723,171.24858704526108,282.34068890064475,278.597812766883,209.13995624123862,457.3341664887039,454.9378983918618,395.04495988780207
1968-69 ,1458.6099729571458,1545.2520090495225,1052.9434803825404,596.3319400217692,683.2888200062783,250.398011748656,360.26403626439856,360.1179072501807,326.88230896439103,502.01399667097803,501.84528179306363,475.6631596694935
1969-70 ,1560.0389128568384,1674.4684066622913,1089.3731329851125,645.1403500457818,755.008038514908,247.44217807684615,389.22822796787597,391.8737236823214,346.9126358353116,525.6703348431806,527.586644465062,495.01831907295474
1970-71 ,1652.6827302483093,1784.3233837994928,1120.3719387554788,688.0223475046267,813.7876150149085,249.44391234055595,418.8212531540178,421.91674467024706,369.437653201271,545.8391295896646,548.6190241143372,501.49037321365194
1971-72 ,1730.4892748821806,1877.5856327670015,1171.7255046050557,723.8098967032142,865.3359563195994,250.81949800124679,444.9147224588337,448.422305631726,390.90374848207625,561.7646557201326,563.827370815676,530.0022581217327
1972-73 ,1834.3800017577253,2030.7373168005226,1275.950135452795,759.453412408505,950.3410465489143,286.8493585515763,487.7803514866394,492.4295471738352,414.8289299678625,587.1462378625808,587.9667230777732,574.2718469333561
1973-74 ,1903.050057116844,2097.2280908046864,1358.3884062079765,795.6526822070402,984.5844119820147,328.4664002355601,495.4137293715551,499.86400985863406,429.69372375662425,611.9836455382488,612.7796689640376,600.228282215792
1974-75 ,1983.0891565047575,2186.5990682243278,1431.5003928126664,809.364872625458,1008.0819427035115,327.61338641665117,528.0278392971476,532.682868626155,460.19864750272916,645.696444582152,645.8342568946615,643.688358893286
1975-76 ,2103.2941988667026,2354.7988865148163,1473.4008529769508,829.0606300554756,1073.1428403684083,297.2082199560644,568.898334959157,576.0833994928255,473.99330274626016,705.3352338520698,705.5726466535823,702.199330274626
1976-77 ,2275.2092279634808,2576.839832594433,1597.8499157559695,924.0479739628965,1218.3959429804672,345.5590637348464,603.3742155401036,610.78506346834,502.70747175589366,747.7870384604805,747.658826145626,749.5833802652293
1977-78 ,2410.751300772767,2724.997423669715,1703.451374166138,984.4684268431273,1291.480089193553,378.18362152661433,645.2764822270202,653.827075937965,524.750509968843,781.0063917026197,779.6902585381968,800.5172426706808
1978-79 ,2586.639528776039,2917.262871597513,1828.0435824520562,1072.651822722486,1396.7385152419145,410.89081141988436,687.9396861088345,695.5000611761299,575.010890808456,826.0480199447184,825.0242951794685,842.1418802237158
1979-80 ,2808.918327701646,3167.0535908389174,1979.4249148730278,1162.820372265326,1512.9424159103037,450.9700728965755,750.9056908233706,759.259178643044,627.9787967381802,895.1922646129493,894.8519962855697,900.4760452382721
1980-81 ,3101.2570242807633,3499.415041857052,2230.1495506667925,1288.6146795263412,1678.6568897056165,525.897247786074,836.2089304624853,845.8893173089566,704.5327806402458,976.433414291937,974.8688348424789,999.7195222404727
1981-82 ,3489.383760388778,3950.805167925573,2475.651426401797,1456.6440008558197,1907.2335295860616,589.5818997349489,949.860633889018,961.4165028645932,792.5086571548603,1082.8791256439397,1082.1551354749179,1093.5608695119877
1982-83 ,3876.684353539543,4405.974378869648,2713.439599833174,1625.825136480196,2139.3721904845934,674.6359688779037,1063.6275340486704,1077.900830078634,873.4062793069585,1187.2316830106763,1188.7013583064204,1165.3973516483118
