State,Public 4-year In-state 21-22 All,Public 4-year In-state 21-22 Tuition,Public 4-year In-state 22-23 All,Public 4-year In-state 22-23 Tuition,Public 4-year In-state 22-23 Room,Public 4-year In-state 22-23 Board,Public 4-year Out-state 22-23 All,Private 4-year 21-22 All,Private 4-year 21-22 Tuition,Private 4-year 22-23 All,Private 4-year 22-23 Tuition,Private 4-year 22-23 Room,Private 4-year 22-23 Board,Public 2-year In-state 21-22 Tuition,Public 2-year In-state 22-23 Tuition,Public 2-year Out-state 22-23 Tuition
   United States ,21831.933,9596.012,22389.146,9749.987,7167.025,5472.134,28297.345,47930.441,34050.94,49653.783,35248.395,8123.717,6281.672,3563.43,3598,8564.62
Alabama ,21427.296,10736.842,22203.744,11080.689,6255.548,4867.506,28315.277,27823.494,17166.938,28575.388,17686.939,5565.603,5322.846,4919.77,5038.5,9432.11
Alaska ,22051.232,8850.829,21483.888,8291.141,6438.127,6754.62,24409.95,28427.255,19882.769,28766.536,20148.322,3475.94,5142.274,†,†,†
Arizona ,24865.295,11451.987,25834.186,11767.978,8404.55,5661.658,28505.598,23207.238,13268.511,23661.299,13485.179,5803.171,4372.949,2182.27,2159.62,7443.53
Arkansas ,18781.654,8621.612,19469.898,8879.181,6173.727,4416.99,23091.224,33031.428,24128.119,33930.389,24797.945,4698.306,4434.138,3492.77,3657.08,5151.46
California ,24319.535,8558.962,24924.66,8636.636,9211.082,7076.941,32967.442,54797.403,39092.574,58515.192,42017.462,9247.841,7249.889,1280.73,1285.75,9337.52
Colorado ,23055.279,9573.47,23842.646,9797.948,7169.972,6874.726,32476.063,40766.141,26783.733,42064.701,27473.575,8478.93,6112.195,3329.07,3426.44,7527.34
Connecticut,28782.488,14962.63,30046.15,15762.57,7904.186,6379.394,37906.917,60385.073,44377.048,61279.331,44931.496,9431.592,6916.243,4537.69,4758.23,14175.55
Delaware ,25472.343,11707.267,26423.953,11922.402,8689.221,5812.33,33812.273,24357.749,11905.117,22977.986,12154.456,8000,2823.529,†,†,†
District of Columbia ,6152,6152,6152,6152,†,†,13004,62690.629,45527.509,65211.051,47066.349,11333.646,6811.055,†,†,†
Florida ,15793.19,4613.3,16088.447,4539.82,6658.251,4890.377,17830.888,43257.915,29735.72,45156.016,30927.603,7825.669,6402.744,2506,†,†
Georgia ,19045.182,7632.034,18674.042,7074.935,7230.39,4368.716,24331.177,44834.226,31334.61,46294.843,32113.721,8087.924,6093.197,3173.54,3134.16,8259.24
Hawaii ,22231.434,10355.725,22614.398,10483.607,5902.97,6227.821,32768.811,33905.626,20252.451,36126.545,21851.498,6631.08,7643.966,3225.11,3226.57,8400.15
Idaho ,17254.56,7478.072,17956.995,7639.797,5193.481,5123.717,25404.16,15947.955,6715.686,17747.026,6970.063,3147.795,7629.168,3327.48,3361.17,8243.19
Illinois ,26966.271,14992.956,27213.738,14921.263,6595.899,5696.576,30027.097,50611.866,36629.391,52233.805,37646.057,8469.759,6117.989,4204.07,4248.53,11693.15
Indiana ,21066.253,9780.46,21015.515,9886.324,5945.437,5183.754,30447.921,49841.204,36763.472,51402.961,37987.128,7017.275,6398.558,4637,4637,8927
Iowa ,20058.803,9670.169,20547.227,10120.688,5062.222,5364.317,29071.549,47144.425,36660.128,48322.095,37623.284,5319.681,5379.129,5454.89,5582.92,6897.17
Kansas ,19385.765,9216.428,19522.467,9274.251,5575.07,4673.146,23713.106,37290.422,27132.56,42221.686,31116.157,5073.345,6032.185,3551.36,3644.63,4826.4
Kentucky ,22553.817,11107.019,23220.1,11299.259,7365.035,4555.806,26639.906,36929.497,27464.238,37700.623,28001.043,4836.876,4862.705,4516.13,4587.94,15501.7
Louisiana ,20602.173,9748.634,21261.959,9843.353,6792.777,4625.829,23573.096,57305.462,42888.094,59366.217,44484.65,8233.183,6648.385,4242.41,4367.34,5084.57
Maine ,21076.983,10612.166,22012.159,10813.331,5765.297,5433.532,30243.775,54611.839,40163.2,53829.179,38971.98,7516.967,7340.232,3866.43,3779.45,6657.62
Maryland ,22995.309,9851.274,23968.347,10041.134,7980.703,5946.51,26720.528,62301.839,47092.134,64283.127,48239.843,9192.961,6850.323,4366.54,4407.86,9877.88
Massachusetts ,28547.74,14022.708,29259.114,14345.272,8839.522,6074.319,34244.928,67931.513,50817.36,71563.047,53789.431,10359.836,7413.78,5562.07,5563.67,10634.76
Michigan ,25430.612,14112.089,26351.888,14718.34,5773.702,5859.846,41324.006,43291.367,32292.962,44799.999,33385.432,5836.853,5577.714,3870.67,3962.95,7493.29
Minnesota ,22972.44,12345.121,24114.077,12873.097,6465.957,4775.022,26718.672,46271.006,34771.235,47838.546,35914.047,6413.275,5511.224,5795.44,6049.36,6790.46
Mississippi ,19740.541,8929.52,20999.808,9119.578,6279.433,5600.796,21531.284,28902.023,19755.749,29234.054,20042.414,5225.869,3965.771,3589.98,3688.44,6232.94
Missouri ,20520.365,9943.61,20629.164,9926.219,6512.73,4190.215,23931.508,40483.769,28965.037,42565.915,30660.029,7053.497,4852.389,3909.43,4076.88,7613.1
Montana ,17275.069,7096.935,18159.774,7298.809,5026.226,5834.739,28681.946,42882.32,32954.269,41988.616,31463.939,5029.849,5494.828,3937.4,3949.95,9726.45
Nebraska ,19836.923,8763.318,20182.113,8861.618,6293.487,5027.009,21539.388,37227.537,26320.445,37125.788,26001.561,5688.864,5435.363,3316.63,3407.84,4307.54
Nevada ,18261.271,6563.701,19035.262,6723.198,6605.496,5706.568,24443.294,38096.719,23909.666,24245.669,24245.669,†,†,†,†,†
New Hampshire ,29372.802,16846.376,30037.931,17019.273,8001.934,5016.724,33849.56,33169.676,19786.477,32944.84,19557.354,8357.613,5029.872,7108.8,7107.72,15348.44
New Jersey ,28610.557,14860.938,29392.443,15265.492,8885.026,5241.925,30271.435,53690.547,39094.474,55304.266,40365.73,8781.141,6157.395,4910.25,4981.14,8558.42
