"Table 330.20. Average undergraduate tuition, fees, room, and board charges for full-time students in degree-granting postsecondary institutions, 
              by control and level of institution and state: Academic years 2021-22 and 2022-23",,,,,,,,,,,,,,,,,,
[In current dollars],,,,,,,,,,,,,,,,,,
State,Public 4-year,,,,,,,Private 4-year,,,,,,"Public 2-year, tuition and required fees",,,,
,"In-state, 
2021-22",,"In-state, 2022-23",,,,"Out-of-
state tuition and required fees, 2022-23",2021-22,,2022-23,,,,,,,,
,Total,Tuition and required fees\1\,Total,Tuition and required fees\1\,Room,Board,,Total,Tuition and required fees,Total,Tuition and required fees,Room,Board,"In-
state, 2021-
22\1\","In-
state, 2022-
23\1\","Out-of-
state, 2022-23",,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,
   United States ,"$21,832","$9,596","$22,389","$9,750","$7,167","$5,472","$28,297","$47,930","$34,051","$49,654","$35,248","$8,124","$6,282","$3,563","$3,598","$8,565",,
Alabama ,"21,427","10,737","22,204","11,081","6,256","4,868","28,315","27,823","17,167","28,575","17,687","5,566","5,323","4,920","5,039","9,432",,
Alaska ,"22,051","8,851","21,484","8,291","6,438","6,755","24,410","28,427","19,883","28,767","20,148","3,476","5,142",†,†,†,,
Arizona ,"24,865","11,452","25,834","11,768","8,405","5,662","28,506","23,207","13,269","23,661","13,485","5,803","4,373","2,182","2,160","7,444",,
Arkansas ,"18,782","8,622","19,470","8,879","6,174","4,417","23,091","33,031","24,128","33,930","24,798","4,698","4,434","3,493","3,657","5,151",,
California ,"24,320","8,559","24,925","8,637","9,211","7,077","32,967","54,797","39,093","58,515","42,017","9,248","7,250","1,281","1,286","9,338",,
Colorado ,"23,055","9,573","23,843","9,798","7,170","6,875","32,476","40,766","26,784","42,065","27,474","8,479","6,112","3,329","3,426","7,527",,
Connecticut,"28,782","14,963","30,046","15,763","7,904","6,379","37,907","60,385","44,377","61,279","44,931","9,432","6,916","4,538","4,758","14,176",,
Delaware ,"25,472","11,707","26,424","11,922","8,689","5,812","33,812","24,358","11,905","22,978","12,154","8,000","2,824",†,†,†,,
District of Columbia ,"6,152","6,152","6,152","6,152",†,†,"13,004","62,691","45,528","65,211","47,066","11,334","6,811",†,†,†,,
Florida ,"15,793","4,613","16,088","4,540","6,658","4,890","17,831","43,258","29,736","45,156","30,928","7,826","6,403","2,506",†,†,,
Georgia ,"19,045","7,632","18,674","7,075","7,230","4,369","24,331","44,834","31,335","46,295","32,114","8,088","6,093","3,174","3,134","8,259",,
Hawaii ,"22,231","10,356","22,614","10,484","5,903","6,228","32,769","33,906","20,252","36,127","21,851","6,631","7,644","3,225","3,227","8,400",,
Idaho ,"17,255","7,478","17,957","7,640","5,193","5,124","25,404","15,948","6,716","17,747","6,970","3,148","7,629","3,327","3,361","8,243",,
Illinois ,"26,966","14,993","27,214","14,921","6,596","5,697","30,027","50,612","36,629","52,234","37,646","8,470","6,118","4,204","4,249","11,693",,
Indiana ,"21,066","9,780","21,016","9,886","5,945","5,184","30,448","49,841","36,763","51,403","37,987","7,017","6,399","4,637","4,637","8,927",,
Iowa ,"20,059","9,670","20,547","10,121","5,062","5,364","29,072","47,144","36,660","48,322","37,623","5,320","5,379","5,455","5,583","6,897",,
Kansas ,"19,386","9,216","19,522","9,274","5,575","4,673","23,713","37,290","27,133","42,222","31,116","5,073","6,032","3,551","3,645","4,826",,
Kentucky ,"22,554","11,107","23,220","11,299","7,365","4,556","26,640","36,929","27,464","37,701","28,001","4,837","4,863","4,516","4,588","15,502",,
Louisiana ,"20,602","9,749","21,262","9,843","6,793","4,626","23,573","57,305","42,888","59,366","44,485","8,233","6,648","4,242","4,367","5,085",,
Maine ,"21,077","10,612","22,012","10,813","5,765","5,434","30,244","54,612","40,163","53,829","38,972","7,517","7,340","3,866","3,779","6,658",,
Maryland ,"22,995","9,851","23,968","10,041","7,981","5,947","26,721","62,302","47,092","64,283","48,240","9,193","6,850","4,367","4,408","9,878",,
Massachusetts ,"28,548","14,023","29,259","14,345","8,840","6,074","34,245","67,932","50,817","71,563","53,789","10,360","7,414","5,562","5,564","10,635",,
Michigan ,"25,431","14,112","26,352","14,718","5,774","5,860","41,324","43,291","32,293","44,800","33,385","5,837","5,578","3,871","3,963","7,493",,
