"Table 330.30. Average undergraduate tuition, fees, room, and board charges for full-time students in degree-granting postsecondary institutions, 
              by percentile of charges and control and level of institution: Selected academic years, 2000-01 through 2022-23",,,,,,,,,,,,,,,
"Control and level of institution, and academic year",Current dollars,,,,,,,,,,Constant 2022-23 dollars\1\,,,,
,"Tuition, fees, room, and board",,,,,Tuition and required fees,,,,,Tuition and required fees,,,,
,"10th per-
centile","25th per-
centile","Median (50th percen-
tile)","75th per-
centile","90th per-
centile","10th per-
centile","25th per-
centile","Median (50th percen-
tile)","75th per-
centile","90th per-
centile","10th per-
centile","25th per-
centile","Median (50th percen-
tile)","75th per-
centile","90th per-
centile"
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Public institutions\2\,,,,,,,,,,,,,,,
2000-01 ,"$5,741","$6,880","$8,279","$9,617","$11,384",$612,"$1,480","$2,403","$3,444","$4,583","$1,047","$2,533","$4,113","$5,895","$7,844"
2005-06 ,"7,700","9,623","11,348","13,543","16,264",990,"2,070","3,329","5,322","6,972","1,491","3,117","5,014","8,015","10,500"
2010-11 ,"9,889","12,856","15,234","17,860","21,593","1,230","2,626","4,632","7,115","9,420","1,667","3,560","6,279","9,644","12,769"
2015-16 ,"13,215","15,947","18,648","21,735","25,180","1,632","3,456","6,452","9,326","11,948","2,053","4,347","8,115","11,730","15,027"
2021-22,"15,354","18,606","21,729","25,678","29,471","2,160","4,284","7,490","11,135","14,070","2,295","4,552","7,959","11,832","14,951"
2022-23,"15,598","18,873","22,197","26,591","30,422","2,070","4,325","7,538","11,233","14,302","2,070","4,325","7,538","11,233","14,302"
  Public 4-year\2\,,,,,,,,,,,,,,,
  2000-01 ,"6,503","7,347","8,468","9,816","11,611","2,118","2,520","3,314","4,094","5,085","3,625","4,313","5,672","7,007","8,703"
  2005-06 ,"8,863","10,219","11,596","13,830","16,443","3,094","3,822","5,084","6,458","8,097","4,660","5,756","7,657","9,726","12,194"
  2010-11 ,"12,048","13,604","15,823","18,419","22,191","4,336","5,091","6,779","8,689","11,029","5,877","6,901","9,189","11,778","14,950"
  2015-16 ,"14,733","16,559","19,217","21,979","25,658","5,360","6,691","8,256","10,509","13,431","6,741","8,416","10,384","13,218","16,893"
  2021-22,"16,731","19,109","22,061","26,052","29,792","4,004","7,188","9,509","12,076","14,738","4,255","7,638","10,104","12,832","15,661"
  2022-23,"17,121","19,456","22,667","26,814","30,800","3,968","7,214","9,620","12,472","15,054","3,968","7,214","9,620","12,472","15,054"
"  Public 2-year\2,3\",,,,,,,,,,,,,,,
  2000-01 ,"3,321","3,804","4,627","5,750","6,871",310,724,"1,387","1,799","2,460",531,"1,239","2,374","3,079","4,211"
  2005-06 ,"4,380","4,822","6,234","7,567","8,993",691,"1,109","1,920","2,589","3,100","1,041","1,670","2,892","3,899","4,669"
  2010-11 ,"5,347","6,327","7,339","9,370","11,312",700,"1,412","2,537","3,315","3,840",949,"1,914","3,439","4,494","5,205"
  2015-16 ,"6,474","7,503","9,337","11,854","14,978","1,182","1,514","3,077","4,115","5,032","1,487","1,904","3,870","5,176","6,329"
  2021-22,"7,657","8,950","11,160","13,545","16,439","1,238","2,040","3,796","4,806","5,616","1,316","2,168","4,034","5,107","5,968"
  2022-23,"8,236","9,195","11,317","13,882","17,248","1,238","2,015","3,810","4,860","5,715","1,238","2,015","3,810","4,860","5,715"
"Private nonprofit
   institutions",,,,,,,,,,,,,,,
2000-01 ,"13,514","17,552","22,493","27,430","32,659","7,800","11,730","15,540","19,600","24,532","13,350","20,077","26,598","33,547","41,989"
2005-06 ,"18,243","23,258","29,497","35,918","41,707","9,981","15,375","21,070","26,265","31,690","15,032","23,155","31,732","39,555","47,726"
2010-11 ,"23,143","29,884","38,063","47,061","52,235","11,930","19,625","26,920","34,536","40,082","16,171","26,602","36,490","46,814","54,331"
2015-16 ,"25,903","36,436","45,951","57,465","63,209","11,900","23,162","32,250","42,270","48,190","14,967","29,132","40,562","53,165","60,610"
2021-22,"27,793","41,221","54,699","70,173","76,828","11,636","23,656","38,240","52,312","59,020","12,365","25,137","40,635","55,588","62,716"
2022-23,"27,771","42,715","56,562","73,075","80,039","12,030","24,000","39,410","53,980","61,618","12,030","24,000","39,410","53,980","61,618"
  Nonprofit 4-year,,,,,,,,,,,,,,,
  2000-01 ,"13,972","17,714","22,554","27,476","32,659","8,450","11,920","15,746","19,730","24,532","14,463","20,402","26,951","33,770","41,989"
  2005-06 ,"18,350","23,322","29,598","36,028","41,774","10,300","15,560","21,190","26,500","31,690","15,512","23,434","31,912","39,909","47,726"
  2010-11 ,"23,548","30,042","38,129","47,061","52,235","12,220","19,854","27,100","34,580","40,082","16,564","26,912","36,734","46,873","54,331"
  2015-16 ,"26,315","36,537","46,094","57,465","63,209","12,240","23,748","32,400","42,288","48,190","15,395","29,869","40,751","53,187","60,610"
  2021-22,"27,793","41,367","54,699","70,173","76,828","11,760","24,012","38,430","52,338","59,062","12,496","25,516","40,836","55,615","62,760"
  2022-23,"27,771","42,754","56,562","73,075","80,039","12,030","24,308","39,570","54,186","61,618","12,030","24,308","39,570","54,186","61,618"
  Nonprofit 2-year\3\,,,,,,,,,,,,,,,
  2000-01 ,"6,850","6,850","9,995","14,209","20,240","2,430","4,825","7,250","8,266","11,100","4,159","8,258","12,409","14,148","18,999"
  2005-06 ,"8,030","15,680","16,830","20,829","28,643","4,218","8,640","9,940","12,270","14,472","6,352","13,012","14,970","18,479","21,795"
  2010-11 ,"10,393","19,718","21,186","27,386","30,758","3,840","9,730","12,000","14,640","18,965","5,205","13,189","16,266","19,845","25,707"
  2015-16 ,"22,582","23,059","25,696","31,405","53,387","4,904","10,800","14,110","17,346","22,060","6,168","13,584","17,747","21,817","27,746"
  2021-22,"15,023","30,985","37,885","72,127","72,127","8,400","12,598","14,975","20,025","28,320","8,926","13,387","15,913","21,279","30,093"
  2022-23,"15,434","34,338","39,700","75,298","75,298","9,010","12,938","15,663","22,272","38,325","9,010","12,938","15,663","22,272","38,325"
"Private for-profit
   institutions",,,,,,,,,,,,,,,
2000-01 ,"13,396","15,778","19,403","21,400","21,845","6,900","8,202","9,644","12,090","14,600","11,810","14,038","16,507","20,693","24,989"
2005-06 ,"17,278","19,098","25,589","26,499","31,903","7,632","10,011","12,450","14,335","17,740","11,494","15,077","18,750","21,589","26,717"
2010-11 ,"16,097","16,097","17,484","26,175","31,639","10,194","10,194","13,520","15,750","18,048","13,818","13,818","18,326","21,349","24,464"
2015-16 ,"17,407","17,407","26,028","26,405","35,377","10,575","11,003","13,320","17,132","19,286","13,301","13,839","16,753","21,548","24,257"
2021-22,"26,481","26,481","26,481","27,356","32,151","9,552","11,066","14,278","17,330","25,672","10,150","11,759","15,172","18,415","27,280"
2022-23,"26,682","26,682","26,682","27,427","30,031","9,552","11,500","14,960","17,442","26,307","9,552","11,500","14,960","17,442","26,307"
  For-profit 4-year,,,,,,,,,,,,,,,
  2000-01 ,"13,396","15,818","20,417","21,400","21,400","7,206","8,305","9,675","12,800","15,090","12,334","14,215","16,560","21,908","25,828"
  2005-06 ,"17,383","19,098","25,589","26,499","31,903","7,632","10,418","12,900","14,450","17,735","11,494","15,690","19,428","21,762","26,709"
  2010-11 ,"16,097","16,097","17,484","26,175","31,639","10,194","10,194","13,560","16,500","18,048","13,818","13,818","18,381","22,366","24,464"
  2015-16 ,"17,407","17,407","26,028","26,405","35,377","10,607","11,003","12,975","17,132","19,459","13,341","13,839","16,319","21,548","24,474"
  2021-22,"26,481","26,481","26,481","27,356","32,151","9,552","10,459","14,278","17,330","25,687","10,150","11,114","15,172","18,415","27,295"
  2022-23,"26,682","26,682","26,682","27,427","30,031","9,552","9,552","14,519","17,550","26,307","9,552","9,552","14,519","17,550","26,307"
  For-profit 2-year\3\,,,,,,,,,,,,,,,
  2000-01 ,"15,778","15,778","19,403","21,845","21,845","6,025","7,365","9,644","12,000","14,255","10,312","12,606","16,507","20,539","24,399"
  2005-06 ,"13,010","18,281","43,425","43,425","43,425","7,870","9,285","11,550","14,196","19,425","11,852","13,983","17,394","21,379","29,254"
  2010-11 ,"23,687","23,687","25,161","25,161","25,161","10,075","12,049","13,418","15,263","17,918","13,657","16,333","18,188","20,689","24,288"
  2015-16 ,"25,732","25,732","25,732","25,732","25,732","10,510","12,678","13,975","15,760","18,048","13,219","15,946","17,577","19,822","22,700"
  2021-22,†,†,†,†,†,"10,950","13,541","15,114","16,699","21,270","11,636","14,389","16,060","17,745","22,602"
  2022-23,†,†,†,†,†,"11,711","13,790","15,711","17,300","21,069","11,711","13,790","15,711","17,300","21,069"
†Not applicable.  ,,,,,,,,,,,,,,,
"\1\Constant dollars based on the Consumer Price Index, prepared by the Bureau of Labor Statistics, U.S. Department of Labor, adjusted to an academic-year basis.",,,,,,,,,,,,,,,
"\2\Average undergraduate tuition and fees are based on in-state students only. For public institutions, in-district tuition and required fees are used.",,,,,,,,,,,,,,,
\3\Not all institutions offer on-campus accommodations. On-campus estimates include weighted averages of room and board and other costs only for institutions that report these costs.,,,,,,,,,,,,,,,
"NOTE: Data in this table represent the 50 states and the District of Columbia. Data are for the entire academic year as defined by the institution and are average charges for full-time students. Student charges were weighted by the number of full-time-equivalent undergraduates, but were not adjusted to reflect student residency. Data are for degree-granting institutions and U.S. service academies. Degree-granting institutions grant associate’s or higher degrees and participate in Title IV federal financial aid programs. Some data have been revised from previously published figures.",,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Institutional Characteristics component, Fall 2000 through Fall 2022 (final data) and Fall 2023 (provisional data); and Fall Enrollment component, Spring 2001 through Spring 2022 (final data) and Spring 2023 (provisional data). (This table was prepared January 2024.)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
