Institution,Year,All 10th,All 25th,All 50th,All 75th,All 90th,Tuition 10th,Tuition 25th,Tuition 50th,Tuition 75th,Tuition 90th,Tuition 23 10th,Tuition 23 25th,Tuition 23 50th,Tuition 23 75th,Tuition 23 90th
Public institutions,2000-01 ,5741.37,6879.78,8279.29,9616.85,11383.57,612,1480,2403,3444,4583,1047.4905763827016,2533.147145500651,4112.940939620314,5894.701871016379,7844.198221506407
Public institutions,2005-06 ,7699.94,9623.1,11348,13542.83,16263.99,990,2070,3329,5322,6972,1490.9551640266948,3117.4517066012704,5013.52499095441,8015.013518131383,10499.938791509207
Public institutions,2010-11 ,9889.21,12855.52,15234.4,17860.21,21592.81,1230,2626,4632,7115,9420,1667.2737429156848,3559.561665769584,6278.708924541018,9644.433073857803,12768.876957939636
Public institutions,2015-16 ,13214.55,15946.86,18647.72,21734.71,25180.32,1632,3456,6452,9326,11948,2052.6283716577204,4346.742434098702,8114.925400695841,11729.664334607782,15027.453299366693
Public institutions,2021-22,15353.98,18606.4,21728.55,25677.87,29470.9,2160,4284,7490,11135,14070,2295.2560943178796,4552.257920397128,7959.013030759685,11832.257689921107,14951.043169931745
Public institutions,2022-23,15597.58,18873.06,22196.95,26590.81,30421.54,2070,4325,7538,11233,14302,2070,4325,7537.999999999999,11233,14302
Public 4-year,  2000-01 ,6502.66,7347.03,8467.71,9816.11,11610.81,2118,2520,3314,4094,5085,3625.138955520526,4313.196490987594,5672.195702830511,7007.232711945719,8703.414347885682
Public 4-year,  2005-06 ,8863.19,10219.47,11596.06,13829.75,16442.77,3094,3822,5084,6458,8097,4659.61139141272,5755.990542333361,7656.581872638097,9725.846918469084,12194.206023357723
Public 4-year,  2010-11 ,12048.45,13604.26,15822.89,18418.91,22190.51,4336,5091,6779,8689,11029,5877.478820554804,6900.886687141261,9188.982685549128,11778.001261946654,14949.887894810641
Public 4-year,  2015-16 ,14732.61,16559.3,19216.91,21978.71,25658.26,5360,6691,8256,10509,13431,6741.475534366043,8415.524776202088,10383.884703680233,13217.568356465064,16892.67871307282
Public 4-year,  2021-22,16731,19109.33,22061.16,26051.95,29792,4004,7188,9509,12076,14738,4254.724722985551,7638.102224980054,10104.439907809592,12832.181756936443,15660.872369470793
Public 4-year,  2022-23,17121.25,19455.84,22667.03,26814.1,30800.12,3968,7214,9620,12472,15054,3968,7213.999999999999,9620,12472,15054
Public 2-year,  2000-01 ,3320.99,3804.42,4627.11,5749.67,6870.89,310,724,1387,1799,2460,530.591631827839,1239.1881982043724,2373.9696559522995,3079.1430505105886,4210.501336440271
Public 2-year,  2005-06 ,4380,4822.11,6234.42,7567,8993.04,691,1109,1920,2589,3100,1040.656584184289,1670.1709867733375,2891.549409021468,3899.073656227386,4668.647483315913
Public 2-year,  2010-11 ,5346.9,6327.11,7338.95,9369.53,11311.77,700,1412,2537,3315,3840,948.8549756430726,1913.9760365828838,3438.9215331521077,4493.50606322398,5205.147294956284
Public 2-year,  2015-16 ,6474.26,7502.92,9336.72,11853.83,14978.18,1182,1514,3077,4115,5032,1486.6462838844518,1904.2152908638411,3870.059742396327,5175.591758193333,6328.937479277971
Public 2-year,  2021-22,7657.17,8950.32,11160,13544.84,16439.24,1238,2040,3796,4806,5616,1315.521779984044,2167.7418668557752,4033.7000620512367,5106.944809857283,5967.665845226487
Public 2-year,  2022-23,8236.37,9195.2,11316.97,13881.57,17247.83,1238,2015,3810,4860,5715,1238,2015,3810.0000000000005,4860,5715
Private non-profit,2000-01 ,13513.55,17551.58,22492.73,27429.7,32659.22,7800,11730,15540,19600,24532,13350.37009115208,20076.90271400178,26598.045027756838,33547.0838187924,41988.62552258241
Private non-profit,2005-06 ,18243.33,23258.13,29496.82,35917.62,41706.55,9981,15375,21070,26265,31690,15031.538880960039,23154.98550192973,31731.742733376217,39555.49230622337,47725.62540202621
Private non-profit,2010-11 ,23142.63,29884.1,38062.8,47060.55,52234.51,11930,19625,26920,34536,40082,16171.19979917408,26601.82699570757,36490.25134901646,46813.793484013084,54331.43590532234
Private non-profit,2015-16 ,25902.69,36435.96,45950.58,57464.94,63209.12,11900,23162,32250,42270,48190,14967.081876670878,29131.726926676543,40562.04962375091,53164.58411150235,60610.39291065291
Private non-profit,2021-22,27792.65,41221.27,54698.67,70172.87,76828.11,11636,23656,38240,52312,59020,12364.629589575394,25137.30470702952,40634.53381792395,55587.702224980065,62715.7475401117
Private non-profit,2022-23,27770.77,42714.76,56562.04,73075.4,80038.88,12030,24000,39410,53980,61618,12030,24000,39410,53980,61618.00000000001
Private Nonprofit 4-year,  2000-01 ,13971.76,17713.68,22554,27476,32659.22,8450,11920,15746,19730,24532,14462.900932081418,20402.104036734974,26950.63172503598,33769.58998697827,41988.62552258241
Private Nonprofit 4-year,  2005-06 ,18350.24,23322.2,29597.54,36027.62,41774,10300,15560,21190,26500,31690,15511.95776714642,23433.59833561148,31912.46457144006,39909.40590576506,47725.62540202621
Private Nonprofit 4-year,  2010-11 ,23547.89,30042.11,38128.51,47060.55,52234.51,12220,19854,27100,34580,40082,16564.296860511928,26912.238123453666,36734.24262846753,46873.43579676779,54331.43590532234
Private Nonprofit 4-year,  2015-16 ,26315.21,36536.84,46094.21,57464.94,63209.12,12240,23748,32400,42288,48190,15394.712787432902,29868.76137875462,40750.71031967533,53187.22339501328,60610.39291065291
Private Nonprofit 4-year,  2021-22,27792.65,41367.42,54698.67,70172.87,76828.11,11760,24012,38430,52338,59062,12496.394291286235,25515.596915167098,40836.43134473895,55615.33030759684,62760.37751972343
Private Nonprofit 4-year,  2022-23,27770.77,42754.32,56562.04,73075.4,80038.88,12030,24308,39570,54186,61618,12030,24308,39570,54186,61618.00000000001
