Year,All,4-year All,2-year All,Public,4-year Public,2-year Public,Private,4-year Private,2-year Private,Private NP,4-year Private NP,2-year Private NP,Private FP,4-year Private FP,2-year Private FP
09-10,4495,2774,1721,1672,672,1000,2823,2102,721,1624,1539,85,1199,563,636
10-11,4599,2870,1729,1656,678,978,2943,2192,751,1630,1543,87,1313,649,664
11-12,4706,2968,1738,1649,682,967,3057,2286,771,1653,1553,100,1404,733,671
12-13,4726,3026,1700,1623,689,934,3103,2337,766,1652,1555,97,1451,782,669
13-14,4724,3039,1685,1625,691,934,3099,2348,751,1675,1587,88,1424,761,663
14-15,4627,3011,1616,1621,701,920,3006,2310,696,1672,1584,88,1334,726,608
15-16,4583,3004,1579,1620,710,910,2963,2294,669,1701,1594,107,1262,700,562
16-17,4360,2832,1528,1623,737,886,2737,2095,642,1682,1581,101,1055,514,541
17-18,4313,2828,1485,1626,750,876,2687,2078,609,1689,1590,99,998,488,510
18-19,4042,2703,1339,1636,768,868,2406,1935,471,1664,1577,87,742,358,384
19-20,3982,2679,1303,1625,772,853,2357,1907,450,1660,1568,92,697,339,358
20-21,3931,2637,1294,1587,752,835,2344,1885,459,1640,1555,85,704,330,374
21-22,3899,2619,1280,1582,756,826,2317,1863,454,1626,1541,85,691,322,369
22-23,3896,2628,1268,1599,782,817,2297,1846,451,1614,1536,78,683,310,373
