Institution,Condition,Charge,0910 All,0910 Private FP,0910 Private NP,0910 Public,1011 All,1011 Private FP,1011 Private NP,1011 Public,1112 All,1112 Private FP,1112 Private NP,1112 Public,1213 All,1213 Private FP,1213 Private NP,1213 Public,1314 All,1314 Private FP,1314 Private NP,1314 Public,1415 All,1415 Private FP,1415 Private NP,1415 Public,1516 All,1516 Private FP,1516 Private NP,1516 Public,1617 All,1617 Private FP,1617 Private NP,1617 Public,1718 All,1718 Private FP,1718 Private NP,1718 Public,1819 All,1819 Private FP,1819 Private NP,1819 Public,1920 All,1920 Private FP,1920 Private NP,1920 Public,2021 All,2021 Private FP,2021 Private NP,2021 Public,2122 All,2122 Private FP,2122 Private NP,2122 Public,2223 All,2223 Private FP,2223 Private NP,2223 Public
2-year Institute,"Off campus, living with family",Other,3767.2436636250977,4100.889714073524,3107.6766917293235,3721.430218192877,3811.639161549045,3989.2992413398224,3946.516878804649,3799.393737113286,3888.0765579408526,4143.372854477612,3726.425524475525,3877.9347872615554,3905.11412506512,4273.197175204574,4337.728017476788,3885.8811038335934,3948.483346623321,4255.640800444691,4673.105860113422,3930.5064228613433,3929.563791940134,4293.129738743746,4399.087586641462,3911.115707984931,3965.771781761433,4073.197976391231,4373.9953095684805,3961.8209262705423,3995.2315028528647,4145.705093016163,4389.425876010781,3990.30665229589,4046.9637413943983,4210.518878504673,4470.984577922078,4042.010269165669,4112.629780819562,4291.72523364486,4543.656655844156,4107.417248070016,4242.383121571273,4177.0553662691655,4907.0585404971935,4238.754772724831,4359.852851207922,4251.635421805624,4958.881320224719,4355.231678590442,4471.115027199386,4282.577510411847,5008.696785403997,4469.516111947582,4701.095379391792,4405.919481721426,4753.085143353605,4705.468865383451
2-year Institute,"Off campus, not living with family",Other,3764.541489617242,4087.0329587400543,3342.7002063983487,3659.034032425168,3758.868150692881,4116.5687694674825,4474.9808722264725,3697.6060791645177,3821.810965534351,3958.688498477395,4508.397246558197,3791.72719644384,3885.777662994174,4370.176755589283,5073.071673819743,3821.1613679366487,3867.288409893228,4399.2417568346245,4573.150145772594,3808.8431039128222,3832.422162302644,4503.595108521672,4508.8483965014575,3761.319953297608,3867.61769389969,4397.312117886816,4407.639109697933,3834.445651463136,3912.831516668926,4379.584582110304,4649.508515815085,3879.446795857511,3966.546791044776,4674.68651594671,4418.315345699832,3931.216355058536,4073.890265339967,4845.008074283407,4462.6382799325465,4036.487043508649,4322.73686554683,5051.309159347554,4562.481697171381,4292.291722710319,4382.228597460686,4947.157073170732,4525.455798864558,4350.745030185152,4490.337312687313,4991.444444444444,5012.038356164384,4453.491487053087,4716.399003147953,5116.278155706727,5581.867808219178,4678.197579834636
2-year Institute,"Off campus, not living with family",Room and board,7334.464519709431,7587.568271675827,8095.072239422085,7239.80992915745,7477.998895104571,7888.654895485421,7999.030604437644,7411.895623818119,7513.744538531032,7389.940407589599,7679.979224030038,7524.252053979701,7655.562677965569,7723.395715369797,9026.76094420601,7630.118614076479,7801.744249886297,7656.78206031116,8257.582604470359,7809.683950543364,7930.890948173174,8014.571483449645,8369.43586005831,7917.661407657995,8200.128730467699,8195.269948267754,8211.81001589825,8200.261958476378,8404.523303006865,7970.461455275761,8863.785888077859,8423.582590670054,8646.876053067994,8533.993944287444,8595.282462057336,8652.296356805871,8955.191169154228,8867.452765442067,9065.75042158516,8957.843036868775,9478.05062899942,8261.633124215808,9903.930116472546,9519.4086178443,9851.300836577488,8614.137804878048,9581.059205190591,9919.57202758342,10077.753783716284,9001.810531620056,9589.541780821915,10144.507186775796,10667.20776495278,9433.791131267322,10396.80410958904,10738.100384599922
2-year Institute,On campus,Other,2905.8819456102065,4110.994676131322,2725.788154897494,2856.1365481021726,2970.9494977902773,3856.5171503957786,2973.026796589525,2940.9507781236107,2909.91297655695,2788.78659370725,2895.80748373102,2914.9454377718225,3098.5441261454635,2909.174211248285,3510.2213302752293,3071.88507332322,3009.6143218525003,3054.225618631732,3660.537585421412,2959.138267675899,3045.768198786748,3032.359534206696,3365.662870159453,3022.02724186826,3062.2095363451085,2822.2915129151293,3108.2283515073764,3061.8999171347023,3081.37682206451,3096.3993288590605,2584.75,3119.0865415798007,3092.231828193833,3581.7881355932204,2520.4262485482,3132.3756581986145,3220.486191121653,3627.991525423729,2548.0725900116145,3269.526605080832,3284.224485891917,919.0,2436.7734225621416,3335.296653374388,3454.203775503718,919.0,2589.251580278129,3506.0525256590863,3540.570059954261,918.0,2775.5243362831857,3588.994232155732,3675.289114174446,918.0,2846.7400442477874,3727.641756801049
2-year Institute,On campus,Room and board,5480.971378210508,8728.762200532386,7095.581435079726,5170.848889949869,5653.521293692246,9961.492084432715,7805.531059683313,5351.207292129836,5912.700213118636,9417.445964432283,8011.110629067245,5630.161094759039,6071.977586064559,9361.705075445816,8529.188073394496,5764.728635130787,6316.602568593112,9766.508005822416,9094.702733485194,6004.869000516084,6460.729312490278,9898.25618631732,9459.15603644647,6133.018304472995,6696.520550271739,8883.025830258302,10359.433611289289,6406.352775987478,6880.328587820322,9682.493288590604,10687.944174757282,6550.933379661802,7045.904608607252,9919.88559322034,10836.986643437864,6713.040739030023,7239.782997289055,9969.572033898305,11271.963414634149,6889.31441108545,7239.695504543281,9220.0,11892.538240917782,6988.73242138206,7141.867603127185,9260.0,11278.977243994945,6917.369826256121,7500.00111255331,9320.0,12452.253318584071,7204.425575145835,7716.976200778884,7920.0,12731.973451327434,7419.551622418879
4-year Institute,"Off campus, living with family",Other,4164.554294373622,5057.132298290528,3641.5386077890216,4011.8660599858927,4265.223981602024,5554.44536877346,3831.636272645381,4194.704479069484,4391.498669022583,5544.076927671265,3820.807881123311,4411.108241248418,4337.379814955724,5533.815213799485,3839.306045188204,4357.837920807951,4170.992353252705,5544.594235924933,3850.4168980173454,4113.461950348856,4250.205170606228,5661.250402144772,3893.494066776405,4199.722777249794,4092.452499584341,4527.895710681245,3926.0922173349263,4120.463169824686,4043.081691659575,4185.192307692308,3999.180230650819,4049.032800725649,4094.8727846614297,4280.094200524247,4080.4988222417855,4091.3074000582415,4093.106346466184,4323.658912188729,4072.7370149182702,4089.373538036448,4315.395591044876,4526.807639836289,4238.678333989668,4328.277058026334,4480.869804683688,4563.6824311841865,4001.14518187117,4660.775754450554,4481.455080298127,4571.526608134743,4223.512609522044,4553.197378904299,4588.157888319302,4654.089410499911,4352.3526493903855,4654.361457334611
4-year Institute,"Off campus, not living with family",Other,5040.889113259045,5577.772948999451,3801.4657993187775,4064.6099290780144,4521.405495877406,5420.569078760576,3973.5551538704863,4021.8385388721017,4436.969507525746,4959.958479035263,3924.9458982976143,4122.096033605523,4392.741430001252,5183.98664194973,3868.262902765897,4136.365230032496,4132.101727768192,4568.901627929313,3886.4248146593927,3943.342861733516,4238.672304359394,4612.304144256627,4308.187083236186,3989.603283573369,4248.243139090974,4719.116469957082,4773.250867931707,3970.690631259016,4191.9587134843605,4430.189438173089,4862.594545548815,3960.429816245155,4275.437694106821,4401.838928546187,5223.946531718039,3987.326191015691,4298.618505808827,4089.880274224327,5314.16776568011,4059.087647991843,4437.153997317737,4493.346817561602,5111.509315097997,4263.928164420167,4471.333257048297,4519.995538559592,4333.235064935065,4501.102783752846,4596.093593843205,4737.754631984306,4616.28744055944,4563.375557537913,4793.911090249459,5276.43050207077,4715.353342657343,4719.761097659402
4-year Institute,"Off campus, not living with family",Room and board,8861.96382031234,8997.23795473826,8164.138980400916,8721.515025067254,8802.109368783525,8865.734890499896,8201.656875593113,8942.26374572873,8571.984618431476,7897.751625870126,8326.721668227647,9205.740957424685,8970.733798323534,8697.495256529088,8410.149130310807,9281.701798643178,8633.152048161634,7393.03351901652,8481.251177320837,9435.14840349391,8873.468283227547,7759.800758739915,8515.702308230357,9663.02039087377,9143.84701613484,7586.830203862661,8778.3787511295,9657.979186800563,9268.765595196708,7338.890294537434,8837.95945455488,9799.341061818588,9592.59890341628,7694.260937168705,9231.205183254102,10073.105463660568,9823.420468923738,7717.71128701675,9387.202525175077,10366.209383674162,10226.51290839325,8368.470583513925,10019.495207839758,10580.111656907822,10743.33985863796,8593.138702995539,10706.223469387754,11092.907191466344,10783.744487145636,9005.088498147206,10434.512727272728,11218.760842784928,11463.810504493404,9563.908522851125,10875.719272727272,11982.911671834954
4-year Institute,On campus,Other,2774.1166197094176,4573.0,2281.963027103184,3126.1771705832307,2857.797242992656,5878.669084735298,2363.2070746003305,3178.888922863027,2888.596757874139,4244.839382940109,2389.3584531013616,3225.3482991139517,2924.611806978171,4211.54801266268,2440.5097089464075,3252.912790488755,2916.31897372514,3886.309401982731,2487.795976286124,3203.3801765658254,2964.980323423834,3801.885513271506,2510.684698491919,3272.3537731526267,2975.8642298982363,4574.498299319728,2561.035226689415,3248.0147029564064,3044.855277496461,4499.707769738911,2595.836042397677,3343.0389020735706,3051.954803462774,4534.478517546737,2621.321103776322,3335.4165872516187,3078.488319581014,4565.329616267629,2652.3731011830782,3358.82740027389,3179.536548062482,5069.375888006686,2738.064019955063,3456.5715789064425,3261.9208834272536,5167.376235584844,2794.586717008001,3563.431697502282,3289.52615666514,5143.112903225807,2788.791442674714,3625.5734494708895,3413.3519210427685,5191.872162485066,2858.372165710746,3789.817929459763
4-year Institute,On campus,Room and board,8582.641993197118,10081.675981097183,9114.117739432251,8155.418636648256,8912.26907257451,9304.365642846118,9455.395224801034,8496.858905405546,9255.298818788478,9659.77707199032,9824.059407743598,8839.158024224549,9598.036808979305,9227.81744635948,10179.237353667704,9186.740971555588,9909.69838317652,9498.8771985929,10505.8418065242,9495.4079749916,10198.164367197523,9858.999840102337,10826.802323065494,9759.794541122325,10525.917481432349,9668.721655328798,11185.533773528468,10078.011328214678,10825.580797043513,10005.176785152564,11496.810449300234,10369.007511916494,11174.340637487709,10032.133814365368,11851.174725184195,10719.946050030256,11486.152919416769,10243.903574942604,12194.30824142958,11011.083181240248,11780.029794191809,9363.299206017551,12542.545329220458,11291.019849405788,11798.777432568471,8658.671952224053,12664.289756225524,11234.083412726435,12491.96248865198,9121.351652727995,13402.942672715282,11880.57278011521,12917.428539541084,9150.979291119076,13841.840472431504,12302.061363399283
