,Current dollars,,,,,,,,,,,,,,,,,,,
4-year institutions,,,,,,,,,,,,,,,,,,,,
"Average total cost, by living arrangement",,,,,,,,,,,,,,,,,,,,
  On campus\1\,27588.851301967607,20035.190911319623,39675.99851524312,31896.509904504044,34830.19774426935,25145.45252548759,53457.41568127667,33349.02406990253,35667.5285638779,25377.084716826597,54614.601532343564,32759.451324678455,37161.611230772556,26401.6638313492,56810.5564636529,33222.537718824315,38269.877192725005,27145.619649318898,58627.87467402218,33573.65959247491
"  Off campus, living with family ",20084.008968002465,12554.147562120534,31689.032488487133,22267.920545696088,24186.026993059935,14726.138155201697,42415.48466609081,23443.15661571458,25087.700052565866,15240.345361048432,43156.87024098121,23497.085568053742,25861.577665753568,15448.714980667402,44842.334957784944,23529.59977100525,26527.254620460455,15708.101813794461,46280.01468527032,23884.89754937068
"  Off campus, not living with family ",29142.299851061376,21323.54536765188,40032.60824530535,30999.7791461831,34534.29830772604,25241.90091850335,53307.8108550389,31778.166376953814,35821.50336356844,26173.579581817066,54195.183593432856,32046.537378424688,36759.96066644428,26677.654002085947,55669.62251609507,32700.91629300202,38196.818326884015,27756.413125954205,57518.734651264545,34071.14716379266
  Component of student costs ,,,,,,,,,,,,,,,,,,,,
    Tuition and required fees ,14596.070585079136,7163.285149879994,26636.801056465694,15191.482187080952,18594.64744447131,9101.680870694803,36926.694324679695,17853.436953275017,19391.07702339941,9363.215507386998,37928.69709387123,17898.22077697593,20167.94024161718,9677.194752095602,39403.63666281185,17949.49741228249,20726.603519173234,9834.162099091627,40713.09242640008,18240.96100085578
    Books and supplies ,1222.714401321305,1196.1579331710554,1220.5951593760597,1521.9929898416765,1275.9839575437495,1296.1802264805594,1250.1120074214496,1062.9120226032735,1215.7532244827685,1216.35409921088,1227.0279652388056,1035.1823598936276,1212.1823438382582,1218.3228496675024,1215.1856854510531,1008.5757505880183,1212.4932129679175,1219.578257368223,1214.569609479852,989.8471380149903
"    Room, board, and other expenses ",,,,,,,,,,,,,,,,,,,,
      On campus ,,,,,,,,,,,,,,,,,,,,
        Room and board\1\,8912.26907257451,8496.858905405546,9455.395224801034,9304.365642846118,11780.029794191809,11291.019849405788,12542.545329220458,9363.299206017551,11798.777432568473,11234.083412726437,12664.289756225524,8658.671952224053,12491.96248865198,11880.57278011521,13402.942672715282,9121.351652727997,12917.428539541083,12302.061363399283,13841.840472431504,9150.979291119076
"        Other\1,2\",2857.7972429926554,3178.888922863027,2363.2070746003305,5878.669084735298,3179.536548062482,3456.5715789064425,2738.064019955063,5069.375888006686,3261.9208834272536,3563.431697502282,2794.586717008001,5167.376235584844,3289.5261566651398,3625.5734494708904,2788.791442674714,5143.112903225807,3413.3519210427685,3789.8179294597635,2858.372165710746,5191.872162485066
"      Off campus, living with family",,,,,,,,,,,,,,,,,,,,
